line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
236,TRUMP,"And you look around, and you see what's happening, and this is not the case when he introduced the doctor — very nice, everything perfect but that is not representative of what you have in that line of migration.",Trump wrong on refugees,"Among Syrian refugees, ""there aren't that many women, there aren't that many children.""",Donald Trump Syrian refugees potentially headed to U.S. are mostly men,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/oct/04/donald-trump/donald-trump-syrian-refugees-are-mostly-men/,NOT SURE - 233-243
236,TRUMP,"And you look around, and you see what's happening, and this is not the case when he introduced the doctor — very nice, everything perfect but that is not representative of what you have in that line of migration.",Trump wrong on refugees,"Among Syrian refugees and migrants coming into Europe, ""there look like very few women. Very few children.""","Donald Trump's false claim that refugees, migrants are mostly 'strong, powerful men'",FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jan/14/donald-trump/donald-trumps-false-claim-refugees-migrants-are-mo/,NOT SURE - 233-243
239,TRUMP,"When I look at the migration, I looked at the line, I said it actually on your show recently, where are the women?",Trump wrong on refugees,"Among Syrian refugees, ""there aren't that many women, there aren't that many children.""",Donald Trump Syrian refugees potentially headed to U.S. are mostly men,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/oct/04/donald-trump/donald-trump-syrian-refugees-are-mostly-men/,NOT SURE - 233-243
240,TRUMP,It looked like very few women.,Trump wrong on refugees,"Among Syrian refugees, ""there aren't that many women, there aren't that many children.""",Donald Trump Syrian refugees potentially headed to U.S. are mostly men,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/oct/04/donald-trump/donald-trump-syrian-refugees-are-mostly-men/,NOT SURE - 233-243
241,TRUMP,Very few children.,Trump wrong on refugees,"Among Syrian refugees, ""there aren't that many women, there aren't that many children.""",Donald Trump Syrian refugees potentially headed to U.S. are mostly men,FALSE,https://www.politifact.com/truth-o-meter/statements/2015/oct/04/donald-trump/donald-trump-syrian-refugees-are-mostly-men/,NOT SURE - 233-243
239,TRUMP,"When I look at the migration, I looked at the line, I said it actually on your show recently, where are the women?",Trump wrong on refugees,"Among Syrian refugees and migrants coming into Europe, ""there look like very few women. Very few children.""","Donald Trump's false claim that refugees, migrants are mostly 'strong, powerful men'",FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jan/14/donald-trump/donald-trumps-false-claim-refugees-migrants-are-mo/,NOT SURE - 233-243
240,TRUMP,It looked like very few women.,Trump wrong on refugees,"Among Syrian refugees and migrants coming into Europe, ""there look like very few women. Very few children.""","Donald Trump's false claim that refugees, migrants are mostly 'strong, powerful men'",FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jan/14/donald-trump/donald-trumps-false-claim-refugees-migrants-are-mo/,NOT SURE - 233-243
241,TRUMP,Very few children.,Trump wrong on refugees,"Among Syrian refugees and migrants coming into Europe, ""there look like very few women. Very few children.""","Donald Trump's false claim that refugees, migrants are mostly 'strong, powerful men'",FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jan/14/donald-trump/donald-trumps-false-claim-refugees-migrants-are-mo/,NOT SURE - 233-243
571,RUBIO,"Unfortunately, Governor Christie has endorsed many of the ideas that Barack Obama supports, whether it is Common Core or gun control or the appointment of Sonia Sotomayor or the donation he made to Planned Parenthood.",Christie did support Sonia Sotomayor,I didnt support Sonia Sotomayor.,Chris Christie says 'I didnt support Sonia Sotomayor' -- but he did,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jan/15/chris-christie/marco-rubio-says-chris-christie-supported-sonia-so/,
168,BUSH,"If she gets elected, she's under investigation with the FBI right now.",Is Hillary Clinton under an FBI investigation?,"Says Hillary Clinton ""isunder investigation with the FBI right now.""",Here's what's wrong with Jeb Bush saying Hillary Clinton is under FBI investigation,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jan/14/jeb-bush/heres-whats-wrong-jeb-bush-saying-hillary-clinton-/,
