line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
180,Donald Trump,Obamacare premiums nationwide have increased by double and triple digits.,Obamacare premium increases,Obamacare premiums nationwide have increased by double and triple digits.,#NAME?,Half-True,https://www.politifact.com/truth-o-meter/statements/2017/feb/28/donald-trump/fact-checking-donald-trumps-claim-about-soaring-ob/,
289,Donald Trump,"I am sending Congress a budget that rebuilds the military, eliminates the defense sequester... [Applause] ... and calls for one of the largest increases in national defense spending in American history.",Bigbump for defense?,"Says his budget ""calls for one of the largest increases in national defense spending in American history.""",Trump wrongly claims historic defense increase,Mostly False,https://www.politifact.com/truth-o-meter/statements/2017/mar/01/donald-trump/trump-wrongly-claims-historic-defense-increase/,
73,Donald Trump,"As we speak tonight, we are removing gang members, drug dealers and criminals that threaten our communities and prey on our very innocent citizens.",Deporting the bad ones,"Recent immigration raids ""are not business as usual. The raids are being done indiscriminately. Theyre not focused simply on criminal aliens.""",Sen. Bob Menendez says immigration raids 'not business as usual',Half-True,https://www.politifact.com/truth-o-meter/statements/2017/feb/17/robert-menendez/sen-bob-menendez-says-immigration-raids-not-busine/,
75,Donald Trump,"Bad ones are going out as I speak, and as I promised throughout the campaign.",Deporting the bad ones,"Recent immigration raids ""are not business as usual. The raids are being done indiscriminately. Theyre not focused simply on criminal aliens.""",Sen. Bob Menendez says immigration raids 'not business as usual',Half-True,https://www.politifact.com/truth-o-meter/statements/2017/feb/17/robert-menendez/sen-bob-menendez-says-immigration-raids-not-busine/,
43,Donald Trump,"We've saved taxpayers hundreds of millions of dollars by bringing down the price of fantastic — and it is a fantastic — new F-35 jet fighter, and we'll be saving billions more on contracts all across our government.",Spinning again on planes,I have already saved more than 700 million when I got involved in the negotiation on the F-35.,Trump overstates credit for 700 million in savings for F-35s  PolitiFact Florid,Mostly False,https://www.politifact.com/florida/statements/2017/feb/07/donald-trump/trump-overstates-credit-700-million-savings-f-35s/,
67,Donald Trump,"By finally enforcing our immigration laws, we will raise wages [Fact check: Maybe a little.",Illegal immigration costs vary,Illegal immigration costs our country more than 113 billion a year.,Donald Trump says illegal immigration costs 113 billion a year,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/sep/01/donald-trump/donald-trump-says-illegal-immigration-costs-113-bi/,
68,Donald Trump,"], help the unemployed, save billions and billions of dollars, and make our communities safer for everyone.",Illegal immigration costs vary,Illegal immigration costs our country more than 113 billion a year.,Donald Trump says illegal immigration costs 113 billion a year,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/sep/01/donald-trump/donald-trump-says-illegal-immigration-costs-113-bi/,NOT SURE
168,Donald Trump,"America has spent approximately $6 trillion in the Middle East, all the while our infrastructure at home is crumbling.",6 trillion spent in the Middle East?,Weve spent 6 trillion on the wars in the Middle East.,Did U.S. spend 6 trillion in Middle East wars?,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/27/donald-trump/did-us-spend-6-trillion-middle-east-wars/,
121,Donald Trump,"Right now, American companies are taxed at one of the highest rates anywhere in the world.",Corporate tax rates,America is one of the highest-taxed nations in the world.,"Trump tweaks talking point about U.S. being 'one of' highest-taxed nations, but it's still flawed",Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/jul/22/donald-trump/trumps-claim-us-taxes-tweaked/,
184,Donald Trump,"Matt Bevin of Kentucky just said Obamacare is failing in his state, the state of Kentucky, and it's unsustainable and collapsing.","Is Obamacare ""collapsing""?","Obamacare ""is in what the actuaries call a death spiral.""",ul Ryan wrongly claims actuaries have determined Obamacare is in a 'death spiral'  PolitiFact Wisconsin,FALSE,https://www.politifact.com/wisconsin/statements/2017/jan/18/paul-ryan/paul-ryan-wrongly-claims-actuaries-have-determined/,
191,Donald Trump,Obamacare is collapsing [Fact check: This is an exaggeration.,"Is Obamacare ""collapsing""?","Obamacare ""is in what the actuaries call a death spiral.""",ul Ryan wrongly claims actuaries have determined Obamacare is in a 'death spiral'  PolitiFact Wisconsin,FALSE,https://www.politifact.com/wisconsin/statements/2017/jan/18/paul-ryan/paul-ryan-wrongly-claims-actuaries-have-determined/,
313,Donald Trump,"We strongly support NATO, an alliance forged through the bonds of two world wars, that dethroned fascism... [Applause] ... and a Cold War and defeated communism.",Calling out NATO partners,"All 28 members of NATO have ""pledged to spend at least 2 percent of their economy on defense. But only three countries do -- Britain, Greece and us.""","Only 3 of NATO's 28 members spend what they promised on defense, Rep. Paul Ryan says  PolitiFact Wisconsin",Mostly True,https://www.politifact.com/wisconsin/statements/2014/jun/19/paul-ryan/only-3-natos-28-members-spend-what-they-promised-d/,NOT SURE
315,Donald Trump,But our partners must meet their financial obligations.,Calling out NATO partners,"All 28 members of NATO have ""pledged to spend at least 2 percent of their economy on defense. But only three countries do -- Britain, Greece and us.""","Only 3 of NATO's 28 members spend what they promised on defense, Rep. Paul Ryan says  PolitiFact Wisconsin",Mostly True,https://www.politifact.com/wisconsin/statements/2014/jun/19/paul-ryan/only-3-natos-28-members-spend-what-they-promised-d/,NOT SURE
