line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
1445,Donald Trump,"Visa lottery -- that's where they put in the names; they put it in a lottery, and you pick, ""Oh, here's a wonderful person.","Visa lottery  thats where they put in the names they put it in a lottery, and you pick, Oh, heres a wonderful person. Wonderful. You know, he killed four people. Heres  heres another wonderful.  They send us the people they dont want.","Says of the diversity visa lottery program, ""they give us their worst people, they put them in a bin,"" and ""the worst of the worst"" are selected.",k them from a bin? Donald Trump mischaracterizes diversity visa lottery,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2017/dec/20/donald-trump/pick-them-bin-donald-trump-mischaracterizes-divers/,WEAK
1452,Donald Trump,Because they send us the people they don't want.,"Visa lottery  thats where they put in the names they put it in a lottery, and you pick, Oh, heres a wonderful person. Wonderful. You know, he killed four people. Heres  heres another wonderful.  They send us the people they dont want.","Says of the diversity visa lottery program, ""they give us their worst people, they put them in a bin,"" and ""the worst of the worst"" are selected.",k them from a bin? Donald Trump mischaracterizes diversity visa lottery,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2017/dec/20/donald-trump/pick-them-bin-donald-trump-mischaracterizes-divers/,
1681,Donald Trump,"And VA Choice, they thought -- for many, many decades they'd been trying to get VA Choice.","For many, many decades theyd been trying to get VA Choice. You couldnt get it. ... Now these great veterans, if theres a big wait, they go outside, they go to a local doctor. We pay the bills. They get better. Everybody is happy. And we actually save a lot of money, if you can believe it. And I got that approved after 44 years of being unable to get it approved.","Says Republicans""just passed"" the Veterans Choice program after 44 years of trying. ""They've been trying to pass that one for many, many decades.""","Donald Trump GOP just passed veteran's Choice after 44-year wait. Actually, it's 4 years old",FALSE,https://www.politifact.com/truth-o-meter/statements/2018/oct/02/donald-trump/donald-trump-gop-finally-passed-veterans-choice-af/,
1690,Donald Trump,And I got that approved after 44 years of being unable to get it approved -- for our veterans.,"For many, many decades theyd been trying to get VA Choice. You couldnt get it. ... Now these great veterans, if theres a big wait, they go outside, they go to a local doctor. We pay the bills. They get better. Everybody is happy. And we actually save a lot of money, if you can believe it. And I got that approved after 44 years of being unable to get it approved.","Says Republicans""just passed"" the Veterans Choice program after 44 years of trying. ""They've been trying to pass that one for many, many decades.""","Donald Trump GOP just passed veteran's Choice after 44-year wait. Actually, it's 4 years old",FALSE,https://www.politifact.com/truth-o-meter/statements/2018/oct/02/donald-trump/donald-trump-gop-finally-passed-veterans-choice-af/,
1469,Donald Trump,"And if they didn't want the child, who is now outside of the womb -- long outside of the womb -- they will execute the baby after birth.","Said Virginias Democratic governor said he would allow parents, ""if they didnt want the child, who is now outside of the womb  long outside of the womb  they will execute the baby after birth.""",The Democratic position on abortion is now so extreme that they dont mind executing babies AFTER birth.,-checking Donald Trump's tweet sayingDemocrats 'dont mind executing' babies after birth,FALSE,https://www.politifact.com/truth-o-meter/statements/2019/feb/28/donald-trump/fact-checking-donald-trumps-tweet-saying-democrats/,
1469,Donald Trump,"And if they didn't want the child, who is now outside of the womb -- long outside of the womb -- they will execute the baby after birth.","Said Virginias Democratic governor said he would allow parents, ""if they didnt want the child, who is now outside of the womb  long outside of the womb  they will execute the baby after birth.""","Says Gov. Ralph Northam ""stated that he would even allow a newborn baby to come out into the world... then talk to the mother and talk to the father and then execute the baby.""",Trump falsely claims Northam said he'd let doctors 'execute' newborns  PolitiFact Virgin,FALSE,https://www.politifact.com/virginia/statements/2019/feb/20/donald-trump/trump-wrongly-claims-northam-said-he-would-execute/,
517,Donald Trump,We passed the largest package of tax cuts and reforms in American history.,We passed the largest package of tax cuts and reforms in American history.,We enacted the biggest tax cuts and reforms in American history.,Donald Trump wrong again that recent tax bill is biggest ever,FALSE,https://www.politifact.com/truth-o-meter/statements/2018/jan/30/donald-trump/donald-trump-wrong-again-recent-tax-bill-biggest-e/,
1088,Donald Trump,It would end air travel.,"The ""Green New Deal"" proposed by some Democrats ""would end air travel.""","The Democrats Green New Deal includes ""working towards ending air travel.""","No, the Green New Deal doesn't aim to end air travel, as Florida Sen. Rick Scott says  PolitiFact Florid",FALSE,https://www.politifact.com/florida/statements/2019/feb/28/rick-scott/no-green-new-deal-doesnt-ban-air-travel-florida-se/,NEEDS CONTEXT
256,Donald Trump,Robert Mueller put 13 of the angriest Democrats in the history of our country on the commission.,Robert Mueller put 13 of the angriest Democrats in the history of our country on the commission.,"Robert Muellers investigative team has ""13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans.""",-checking Donald Trump's claims about Democrats on Robert Mueller's team,Half-True,https://www.politifact.com/truth-o-meter/statements/2018/mar/21/donald-trump/fact-checking-donald-trumps-claims-about-Mueller/,
1306,Donald Trump,One in three women is sexually assaulted on the dangerous journey north.,One in three women is sexually assaulted on the dangerous journey north.,One in three women is sexually assaulted on the dangerous journey north.,Trump said 1 in 3 migrant women is sexually assaulted in journey to the United States. Is that true?,Half-True,https://www.politifact.com/truth-o-meter/statements/2019/jan/25/donald-trump/trump-said-1-3-migrant-women-sexually-assaulted-jo/,
1414,Donald Trump,Nobody shows up.,Nobody shows up for immigration hearings. Three percent of the people come back for a trial.,Most immigrants do show up in court.,"Majority of undocumented immigrants show up for court, data shows  Pund",Mostly True,https://www.politifact.com/punditfact/statements/2018/jun/26/wolf-blitzer/majority-undocumented-immigrants-show-court-data-s/,
1414,Donald Trump,Nobody shows up.,Nobody shows up for immigration hearings. Three percent of the people come back for a trial.,"Says ""85 percent of immigrants dont show up for a scheduled court hearing or call to schedule a court hearing.""",Rep. Rob Wittman says 85 percent of immigrants skip their court hearings  PolitiFact Virgin,FALSE,https://www.politifact.com/virginia/statements/2018/nov/13/rob-wittman/rep-rob-wittman-says-85-percent-immigrants-skip-th/,
1415,Donald Trump,Three percent of the people come back for a trial.,Nobody shows up for immigration hearings. Three percent of the people come back for a trial.,Most immigrants do show up in court.,"Majority of undocumented immigrants show up for court, data shows  Pund",Mostly True,https://www.politifact.com/punditfact/statements/2018/jun/26/wolf-blitzer/majority-undocumented-immigrants-show-court-data-s/,
1415,Donald Trump,Three percent of the people come back for a trial.,Nobody shows up for immigration hearings. Three percent of the people come back for a trial.,"Says ""85 percent of immigrants dont show up for a scheduled court hearing or call to schedule a court hearing.""",Rep. Rob Wittman says 85 percent of immigrants skip their court hearings  PolitiFact Virgin,FALSE,https://www.politifact.com/virginia/statements/2018/nov/13/rob-wittman/rep-rob-wittman-says-85-percent-immigrants-skip-th/,
