line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
75,KAINE,"And as a candidate, he started his campaign with a speech where he called Mexicans rapists and criminals, and he has pursued the discredited and really outrageous lie that President Obama wasn't born in the United States.","Kaine Trump ""has pursued the discredited and really outrageous lie that President Obama wasn't born in the United States.""",I finished the controversyabout wherePresident Barack Obama was born.,Donald Trump's Pants on Fire claim that he 'finished' the Obama birther talk,Pants on Fire!,https://www.politifact.com/truth-o-meter/statements/2016/sep/16/donald-trump/donald-trumps-pants-fire-claim-he-finished-obama-b/,
50,PENCE,"We've seen an economy stifled by more taxes, more regulation, a war on coal, and a failing health care reform come to be known as Obamacare, and the American people know that we need to make a change.","Pence ""We've seen an economy stifled by more taxes, more regulation, a war on coal, and a failing health care reform come to be known as Obamacare, and the American people know that we need to make a change.""","The Obama administration has been ""raising taxes.""","Mike Pence half right that Obama has been ""raising taxes""  PolitiFact Virgin",Half-True,https://www.politifact.com/virginia/statements/2016/aug/16/mike-pence/mike-pence-half-right-obama-has-been-raising-taxes/,
97,KAINE,These guys have praised Vladimir Putin as a great leader.,"Kaine ""These guys have praised Vladimir Putin as a great leader.""","Says Russian President Vladimir Putin ""calls me brilliant.""",Did Vladimir Putin call Trump 'brilliant'?,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/sep/08/donald-trump/did-vladimir-putin-call-trump-brilliant/,
153,PENCE,"And Iraq has been overrun by ISIS, because Hillary Clinton failed to renegotiate...","Pence ""Hillary Clinton failed to renegotiate a status of forces agreement.""","Says ""Iraq has been overrun by ISIS because Hillary Clinton failed to renegotiate . . . a status of forces agreement.""",Mike Pence Hillary Clinton failed to keep U.S. troops in Iraq,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/oct/04/mike-pence/mike-pence-clinton-failed-keep-troops-iraq/,
117,PENCE,She had a Clinton Foundation accepting contributions from foreign governments.,"Pence ""She had a Clinton Foundation accepting contributions from foreign governments.""",The Clintons' foundation took millions from foreign governments including United Arab Emirates and Saudi Arabia.,Conservative group claims Hillary Clinton's foundation took millions from foreign governments,TRUE,https://www.politifact.com/truth-o-meter/statements/2015/feb/26/american-crossroads/conservative-group-claims-hillary-clintons-foundat/,
179,PENCE,"I think the fact that -- that under this past administration was of which Hillary Clinton was a part, we've almost doubled the national debt is atrocious.","Pence ""Weve almost doubled the national debt.""","Says that under the Obama administration, ""the debt has nearly doubled.""",Mike Pence claims national debt has nearly doubled under President Obama  PolitiFact Arizon,Mostly True,https://www.politifact.com/arizona/statements/2016/aug/09/mike-pence/mike-pence-claims-national-debt-has-nearly-doubled/,
184,PENCE,He actually -- he actually tried to raise taxes by about $4 billion.,"Pence Kaine ""actually tried to raise taxes by about 4 billion.""","Says Tim Kaine ""actually tried to raise taxes by about 4 billion.""",Mike Pence says Tim Kaine tried to raise Virginia taxes by 4 billion  PolitiFact Virgin,Mostly True,https://www.politifact.com/virginia/statements/2016/oct/04/mike-pence/mike-pence-accuses-tim-kaine-raising-taxes-leaving/,
192,PENCE,They want to expand it into a single-payer program.,"Pence ""They want to expand Obamacare into a single-payer program.""","Says Hillary Clinton and Tim Kaine ""want to expand Obamacare into a single-payer program.""",Mike Pence says Hillary Clinton wants to turn Obamacare into single-payer,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/oct/05/mike-pence/mike-pence-says-hillary-clinton-want-turn-obamacar/,
215,KAINE,"First, Donald Trump said wages are too high.","Kaine ""First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.""","First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.","Tim Kaine says Donald Trump, Mike Pence want to eliminate the federal minimum wage",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/04/tim-kaine/tim-kaine-says-donald-trump-mike-pence-want-elimin/,
216,KAINE,And both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.,"Kaine ""First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.""","First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.","Tim Kaine says Donald Trump, Mike Pence want to eliminate the federal minimum wage",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/04/tim-kaine/tim-kaine-says-donald-trump-mike-pence-want-elimin/,
